#,Season,Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR
168,2022,Mark Canha,NYM,140,542,13,71,61,3,8.90%,17.90%,0.136,0.309,0.266,0.367,0.403,0.343,,126,-1,15.5,-8.6,2.7
169,2022,Anthony Santander,BAL,152,647,33,78,89,0,8.50%,18.90%,0.214,0.248,0.24,0.318,0.455,0.336,,122,0.3,16.5,-11.9,2.6
170,2023,Anthony Santander,BAL,153,656,28,81,95,5,8.40%,23.20%,0.215,0.299,0.257,0.325,0.472,0.34,,119,0.1,15.3,-11.1,2.6
171,2022,Brendan Donovan,STL,126,468,5,64,45,2,12.80%,15.00%,0.097,0.33,0.281,0.394,0.379,0.349,,128,-1.9,13.1,-3.8,2.6
172,2023,Nolan Arenado,STL,144,612,26,71,93,3,6.70%,16.50%,0.193,0.279,0.266,0.315,0.459,0.327,,107,-3.3,1.9,3.7,2.6
173,2023,Luke Raley,TBR,118,406,19,56,49,14,6.90%,31.50%,0.241,0.33,0.249,0.333,0.49,0.353,,130,3.8,18.4,-5.9,2.6
174,2023,Max Kepler,MIN,130,491,24,72,66,1,9.20%,21.60%,0.224,0.288,0.26,0.332,0.484,0.348,,124,-3.5,10.5,-0.8,2.6
175,2022,Lars Nootbaar,STL,108,347,14,53,40,4,14.70%,20.50%,0.221,0.248,0.228,0.34,0.448,0.342,,123,1.4,10.6,2.6,2.6
176,2022,Danny Jansen,TOR,72,248,15,34,44,1,10.10%,17.70%,0.256,0.255,0.26,0.339,0.516,0.364,,141,0.8,12.2,4.8,2.6
177,2023,Jeff McNeil,NYM,156,648,10,75,55,10,6.00%,10.00%,0.108,0.288,0.27,0.333,0.378,0.314,,100,1.7,2,1.7,2.6
178,2022,Jurickson Profar,SDP,152,658,15,82,58,5,11.10%,15.70%,0.148,0.272,0.243,0.331,0.391,0.32,,111,-1.4,7,-4.9,2.6
179,2022,Trayce Thompson,2 Tms,80,255,13,36,41,4,12.50%,36.50%,0.251,0.374,0.256,0.353,0.507,0.37,,143,3.2,15.9,-0.3,2.5
180,2023,Josh Jung,TEX,122,515,23,75,70,1,5.80%,29.30%,0.201,0.34,0.266,0.315,0.467,0.334,,110,-2.9,3.4,4.5,2.5
181,2022,Hunter Renfroe,MIL,125,522,29,62,72,1,7.50%,23.20%,0.236,0.281,0.255,0.315,0.492,0.347,,124,-1.6,12.7,-6.2,2.5
182,2023,Jake Burger,2 Tms,141,540,34,71,80,1,5.90%,27.60%,0.268,0.284,0.25,0.309,0.518,0.349,,120,1.1,14.6,-7.6,2.5
183,2022,Teoscar Hernández,TOR,131,535,25,71,77,6,6.40%,28.40%,0.224,0.335,0.267,0.316,0.491,0.348,,130,-2.5,15.4,-8.4,2.5
184,2023,Nolan Gorman,STL,119,464,27,59,76,7,11.40%,31.90%,0.241,0.296,0.236,0.328,0.478,0.345,,118,2.6,13.2,-3.7,2.5
185,2023,Willi Castro,MIN,124,409,9,60,34,33,8.30%,24.20%,0.154,0.328,0.257,0.339,0.411,0.327,,109,6.4,10.9,0.4,2.5
186,2023,Josh Naylor,CLE,121,495,17,52,97,10,6.70%,13.70%,0.181,0.326,0.308,0.354,0.489,0.354,,128,-3.7,13,-4.8,2.5
187,2022,Anthony Rizzo,NYY,130,548,32,77,75,6,10.60%,18.40%,0.256,0.216,0.224,0.338,0.48,0.352,,134,-3.6,17.2,-10.9,2.5
188,2023,Brandon Drury,LAA,125,523,26,61,83,0,4.80%,26.00%,0.235,0.308,0.262,0.306,0.497,0.339,,114,-4.1,4.7,2.4,2.5
189,2022,Jazz Chisholm Jr.,MIA,60,241,14,39,45,12,8.70%,27.40%,0.282,0.294,0.254,0.325,0.535,0.365,,136,3.1,13.2,2.3,2.5
190,2022,Dylan Carlson,STL,128,488,8,56,42,5,9.20%,19.30%,0.144,0.281,0.236,0.316,0.38,0.306,,99,3.8,3.1,4,2.5
191,2022,William Contreras,ATL,97,376,20,51,45,2,10.40%,27.70%,0.228,0.344,0.278,0.354,0.506,0.37,,139,-2.6,14.3,-3.4,2.5
192,2023,Wilmer Flores,SFG,126,454,23,51,60,0,9.00%,13.90%,0.225,0.286,0.284,0.355,0.509,0.368,,136,-2.4,17.6,-8.4,2.5
193,2022,Kolten Wong,MIL,134,497,15,65,47,17,9.30%,17.70%,0.179,0.28,0.251,0.339,0.43,0.336,,116,3.4,12.8,-6.4,2.4
194,2023,Willson Contreras,STL,125,495,20,55,67,6,10.30%,22.40%,0.203,0.311,0.264,0.358,0.467,0.358,,127,-4.4,12.5,-5,2.4
195,2022,Justin Turner,LAD,128,532,13,61,81,3,9.40%,16.70%,0.16,0.313,0.278,0.35,0.438,0.343,,124,-3.1,11.5,-6.4,2.4
196,2023,Royce Lewis,MIN,58,239,15,36,52,6,8.40%,23.00%,0.24,0.354,0.309,0.372,0.548,0.393,,155,0.1,15.7,0.5,2.4
197,2023,Bo Naylor,CLE,67,230,11,33,32,5,13.00%,23.00%,0.232,0.267,0.237,0.339,0.47,0.347,,124,2.9,9.4,7,2.4
198,2022,Isaac Paredes,TBR,111,381,20,48,45,0,11.50%,17.60%,0.23,0.195,0.205,0.304,0.435,0.323,,116,-0.7,6,4.8,2.4
199,2022,Max Muncy,LAD,136,565,21,69,69,2,15.90%,25.00%,0.188,0.227,0.196,0.329,0.384,0.318,,107,2.1,6.4,-2.7,2.4
200,2022,Bryce Harper,PHI,99,426,18,63,65,11,10.80%,20.40%,0.227,0.324,0.286,0.364,0.514,0.369,,139,-0.9,18.3,-9.9,2.4
201,2022,Jake McCarthy,ARI,99,354,8,53,43,23,6.50%,21.50%,0.143,0.349,0.283,0.342,0.427,0.337,,117,7.7,14.7,-4.1,2.4
202,2022,Trevor Story,BOS,94,396,16,53,66,13,8.10%,30.80%,0.196,0.309,0.238,0.303,0.434,0.316,,100,2.9,2.8,7.1,2.4
203,2022,Gio Urshela,MIN,144,551,13,61,64,1,7.40%,17.40%,0.144,0.326,0.285,0.338,0.429,0.332,,119,-6.2,5.6,-0.6,2.4
204,2023,Jarren Duran,BOS,102,362,8,46,40,24,6.60%,24.90%,0.187,0.381,0.295,0.346,0.482,0.354,,120,5.9,14.6,-3.2,2.4
205,2022,Santiago Espinal,TOR,135,491,7,51,51,6,7.30%,13.80%,0.102,0.3,0.267,0.322,0.37,0.305,,100,-1.5,-1.5,8.2,2.3
206,2022,Wander Franco,TBR,83,344,6,46,33,8,7.60%,9.60%,0.14,0.29,0.277,0.328,0.417,0.323,,116,4,10.1,1.3,2.3
207,2022,Ty France,SEA,140,613,20,65,83,0,5.70%,15.30%,0.162,0.296,0.274,0.338,0.436,0.337,,125,-2.8,14.6,-11.9,2.3
208,2023,Brandon Belt,TOR,103,404,19,53,43,0,15.10%,34.90%,0.236,0.37,0.254,0.369,0.49,0.369,,138,-0.6,17.9,-8.4,2.3
209,2022,Matt Carpenter,NYY,47,154,15,28,37,0,12.30%,22.70%,0.422,0.304,0.305,0.412,0.727,0.472,,218,-0.9,19.6,-2.6,2.3
210,2022,Rhys Hoskins,PHI,156,672,30,81,79,2,10.70%,25.10%,0.216,0.292,0.246,0.332,0.462,0.345,,122,-3.4,14.1,-15,2.3
211,2023,Bryan Reynolds,PIT,145,640,24,85,84,12,8.30%,21.60%,0.197,0.304,0.263,0.33,0.46,0.338,,110,1.9,9.9,-8.8,2.3
212,2023,Leody Taveras,TEX,143,554,14,67,67,14,6.30%,21.10%,0.155,0.318,0.266,0.312,0.421,0.316,,98,3.7,2.1,1.9,2.3
213,2022,Luis Urías,MIL,119,472,16,54,47,1,10.60%,21.00%,0.165,0.274,0.239,0.335,0.404,0.327,,110,0.2,5.7,0,2.3
214,2023,Orlando Arcia,ATL,139,533,17,66,65,1,7.30%,19.10%,0.156,0.301,0.264,0.321,0.42,0.321,,99,-2.1,-2.7,7.3,2.3
215,2022,Bobby Witt Jr.,KCR,150,632,20,82,80,30,4.70%,21.40%,0.174,0.295,0.254,0.294,0.428,0.311,,98,6.8,5.6,-4.1,2.3
216,2022,Mike Yastrzemski,SFG,148,558,17,73,57,5,10.90%,25.30%,0.177,0.261,0.214,0.305,0.392,0.307,,100,2.6,2.8,-0.2,2.3
217,2023,Tommy Edman,STL,137,528,13,69,47,27,6.60%,15.90%,0.15,0.275,0.248,0.307,0.399,0.306,,92,1.8,-3.2,7.9,2.3
218,2023,Riley Greene,DET,99,416,11,51,37,7,8.40%,27.40%,0.159,0.384,0.288,0.349,0.447,0.344,,119,1.4,11.1,-2.6,2.3
219,2022,Christian Yelich,MIL,154,671,14,99,57,19,13.10%,24.10%,0.13,0.327,0.252,0.355,0.383,0.328,,111,3.4,11.7,-13.1,2.2
220,2023,Jake Rogers,DET,107,365,21,47,49,1,7.70%,32.30%,0.224,0.268,0.221,0.286,0.444,0.312,,97,0.2,-1,10.9,2.2
221,2022,Eduardo Escobar,NYM,136,542,20,58,69,0,7.40%,23.80%,0.19,0.281,0.24,0.295,0.43,0.311,,104,3.1,5.8,-3,2.2
222,2023,Jason Heyward,LAD,124,377,15,56,40,2,9.00%,17.00%,0.204,0.291,0.269,0.34,0.473,0.348,,121,-0.8,8.8,0.4,2.2
223,2023,Austin Hays,BAL,144,566,16,76,67,5,6.70%,24.90%,0.169,0.345,0.275,0.325,0.444,0.33,,112,-3.9,4.3,-1.4,2.2
224,2022,Trent Grisham,SDP,152,524,17,58,53,7,10.90%,28.60%,0.157,0.231,0.184,0.284,0.341,0.28,,84,5.8,-4.1,7.3,2.2
225,2022,Ronald Acuña Jr.,ATL,119,533,15,71,50,29,9.90%,23.60%,0.148,0.331,0.266,0.351,0.413,0.335,,115,4.8,14,-11.1,2.2
226,2023,Kerry Carpenter,DET,118,459,20,57,64,6,7.00%,25.10%,0.194,0.338,0.278,0.34,0.471,0.347,,121,-0.1,11.7,-5.5,2.2
227,2023,José Caballero,SEA,104,280,4,37,26,26,10.00%,23.60%,0.1,0.285,0.221,0.343,0.32,0.305,,96,5.2,4,8.3,2.2
228,2023,Kevin Kiermaier,TOR,129,408,8,58,36,14,7.10%,21.10%,0.154,0.321,0.265,0.322,0.419,0.32,,104,-2.7,-0.6,8.5,2.2
229,2023,George Springer,TOR,154,683,21,87,72,20,8.80%,18.30%,0.147,0.291,0.258,0.327,0.405,0.32,,104,-1.7,1.6,-3.1,2.2
230,2022,Austin Slater,SFG,125,325,7,49,34,12,12.30%,27.40%,0.144,0.361,0.264,0.366,0.408,0.344,,126,3.5,13.3,-3.6,2.2
231,2022,Jon Berti,MIA,102,404,4,47,28,41,10.40%,22.00%,0.098,0.308,0.24,0.324,0.338,0.298,,90,8,3.4,3.6,2.2
232,2023,J.D. Davis,SFG,144,546,18,61,69,1,9.50%,27.80%,0.165,0.32,0.248,0.325,0.413,0.321,,104,-2.3,0.5,2.5,2.2
233,2023,J.D. Martinez,LAD,113,479,33,61,103,1,7.10%,31.10%,0.301,0.324,0.271,0.321,0.572,0.369,,135,-3.6,17.2,-11.9,2.2
234,2022,Brandon Crawford,SFG,118,458,9,50,52,1,8.50%,21.40%,0.113,0.28,0.231,0.308,0.344,0.289,,88,1.8,-4.5,9.5,2.2
235,2023,CJ Abrams,WSN,151,614,18,83,64,47,5.20%,19.20%,0.167,0.279,0.245,0.3,0.412,0.306,,90,9.5,2,-1.4,2.1
236,2023,Daulton Varsho,TOR,158,581,20,65,61,16,7.70%,23.20%,0.169,0.256,0.22,0.285,0.389,0.293,,85,2.8,-7.5,9.1,2.1
237,2022,Jace Peterson,MIL,113,328,8,44,34,12,10.10%,25.90%,0.146,0.303,0.236,0.316,0.382,0.306,,96,5.2,3.6,5.6,2.1
238,2023,Spencer Steer,CIN,156,665,23,74,86,15,10.20%,20.90%,0.192,0.318,0.271,0.356,0.464,0.355,,118,1.7,16.4,-17.7,2.1
239,2022,Joc Pederson,SFG,134,433,23,57,70,3,9.70%,23.10%,0.247,0.31,0.274,0.353,0.521,0.373,,146,0.4,23.4,-17.8,2.1
240,2022,Luis Robert Jr.,CHW,98,401,12,54,56,11,4.20%,19.20%,0.142,0.329,0.284,0.319,0.426,0.324,,111,4.4,9.3,-1.9,2.1
241,2022,Tyrone Taylor,MIL,120,405,17,49,51,3,5.40%,25.20%,0.209,0.272,0.233,0.286,0.442,0.314,,102,1.2,2,4.5,2.1
242,2023,Mitch Garver,TEX,87,344,19,45,50,0,12.80%,23.80%,0.23,0.313,0.27,0.37,0.5,0.374,,138,-1.4,14.2,-4.7,2.1
243,2023,Lourdes Gurriel Jr.,ARI,145,592,24,65,82,5,5.60%,17.40%,0.201,0.282,0.261,0.309,0.463,0.329,,106,-3.2,0.9,0.1,2.1
244,2022,Dylan Moore,SEA,104,255,6,41,24,21,13.30%,29.40%,0.161,0.32,0.224,0.368,0.385,0.338,,126,2.5,9.9,2.1,2.1
245,2022,Seiya Suzuki,CHC,111,446,14,54,46,9,9.40%,24.70%,0.171,0.326,0.262,0.336,0.433,0.334,,116,-0.4,8,-3,2.1
246,2022,Myles Straw,CLE,152,596,0,72,32,21,9.10%,14.60%,0.052,0.261,0.221,0.291,0.273,0.257,,67,7.6,-14.9,15.8,2.1
247,2023,Nathaniel Lowe,TEX,161,724,17,89,82,1,12.80%,22.80%,0.152,0.329,0.262,0.36,0.414,0.34,,114,-8,4.5,-8.1,2.1
248,2023,Jon Berti,MIA,133,424,7,53,33,16,6.80%,18.20%,0.111,0.349,0.294,0.344,0.405,0.325,,103,0.6,1.9,4.4,2.1
249,2023,Brendan Donovan,STL,95,371,11,48,34,5,8.90%,14.30%,0.138,0.311,0.284,0.365,0.422,0.345,,118,3.1,11.6,-3.5,2.1
250,2023,LaMonte Wade Jr.,SFG,135,519,17,64,45,2,14.60%,18.30%,0.161,0.29,0.256,0.373,0.417,0.347,,122,-0.2,13.7,-10.8,2.1
251,2023,Alex Verdugo,BOS,142,602,13,81,54,5,7.50%,15.40%,0.158,0.294,0.264,0.324,0.421,0.322,,98,-2,-3.5,3.5,2
252,2023,Yainer Diaz,HOU,104,377,23,51,60,0,2.90%,19.60%,0.256,0.292,0.282,0.308,0.538,0.354,,127,-4.3,7.8,-0.3,2
253,2023,Brent Rooker,OAK,137,526,30,61,69,4,9.30%,32.70%,0.242,0.317,0.246,0.329,0.488,0.348,,127,0,17,-14.8,2
254,2023,Davis Schneider,TOR,35,141,8,23,20,1,14.90%,30.50%,0.328,0.369,0.276,0.404,0.603,0.424,,176,0.1,13,2.4,2
255,2022,Chas McCormick,HOU,119,407,14,47,44,4,11.30%,26.00%,0.162,0.308,0.245,0.332,0.407,0.326,,114,-1.1,5.3,0.8,2
256,2023,Danny Jansen,TOR,86,301,17,38,53,0,7.60%,20.60%,0.246,0.233,0.228,0.312,0.474,0.336,,116,0.8,6.4,3.4,2
257,2022,Tim Anderson,CHW,79,351,6,50,25,13,4.00%,15.70%,0.093,0.347,0.301,0.339,0.395,0.323,,110,2.8,6.7,1.2,2
258,2022,J.P. Crawford,SEA,145,603,6,57,42,3,11.30%,13.30%,0.093,0.275,0.243,0.339,0.336,0.306,,103,-1,1.1,-1.3,2
259,2022,Max Kepler,MIN,115,446,9,54,43,3,11.00%,14.80%,0.121,0.249,0.227,0.318,0.348,0.298,,95,0.8,-1.8,6.6,2
260,2023,Ryan Noda,OAK,128,495,16,63,54,3,15.60%,34.30%,0.177,0.347,0.229,0.364,0.406,0.342,,123,-0.3,13.1,-10,2
261,2022,Josh Bell,2 Tms,156,647,17,78,71,0,12.50%,15.80%,0.156,0.296,0.266,0.362,0.422,0.344,,123,-5.6,11.9,-14.9,2
262,2023,Luis Rengifo,LAA,126,445,16,55,51,6,9.20%,18.40%,0.18,0.293,0.264,0.339,0.444,0.339,,114,0.1,7.6,-3.3,1.9
263,2023,Maikel Garcia,KCR,123,515,4,59,50,23,7.40%,22.30%,0.086,0.344,0.272,0.323,0.358,0.299,,84,-0.8,-10.7,12.5,1.9
264,2022,Chris Taylor,LAD,118,454,10,45,43,10,9.70%,35.20%,0.152,0.336,0.221,0.304,0.373,0.298,,93,3.4,-0.3,3.2,1.9
265,2022,Jose Siri,2 Tms,104,325,7,53,24,14,6.20%,33.20%,0.126,0.305,0.213,0.268,0.339,0.268,,75,5.6,-3.4,11.2,1.9
266,2023,Connor Joe,PIT,133,472,11,63,42,3,10.60%,23.30%,0.174,0.311,0.247,0.339,0.421,0.332,,107,0.6,4.5,-1.5,1.9
267,2023,Matt Wallner,MIN,76,254,14,42,41,2,11.00%,31.50%,0.258,0.328,0.249,0.37,0.507,0.377,,144,1.6,14.8,-4.5,1.9
268,2023,Anthony Volpe,NYY,159,601,21,62,60,24,8.70%,27.80%,0.174,0.259,0.209,0.283,0.383,0.29,,84,3.5,-7.8,6.2,1.9
269,2023,Chris Taylor,LAD,117,384,15,51,56,16,10.70%,32.60%,0.183,0.327,0.237,0.326,0.42,0.323,,104,3.3,5.4,0.3,1.9
270,2023,Jorge Soler,MIA,137,580,36,77,75,1,11.40%,24.30%,0.262,0.272,0.25,0.341,0.512,0.361,,126,-3.7,15.3,-16.4,1.9
271,2022,Javier Báez,DET,144,590,17,64,67,9,4.40%,24.90%,0.155,0.292,0.238,0.278,0.393,0.291,,88,2.5,-5.3,4.2,1.9
272,2023,Adam Duvall,BOS,92,353,21,45,58,4,6.20%,31.20%,0.284,0.299,0.247,0.303,0.531,0.347,,116,3,9.7,-3,1.9
273,2023,Jazz Chisholm Jr.,MIA,97,383,19,50,51,22,6.80%,30.80%,0.207,0.318,0.25,0.304,0.457,0.325,,103,3.8,5.1,0.5,1.9
274,2023,Mauricio Dubón,HOU,132,492,10,76,46,7,3.90%,14.20%,0.133,0.308,0.278,0.309,0.411,0.311,,97,0.1,-1.6,3.5,1.9
275,2022,Seby Zavala,CHW,61,205,2,22,21,0,9.30%,31.20%,0.112,0.404,0.27,0.347,0.382,0.323,,110,-0.7,1.7,9.5,1.9
276,2022,Christian Bethancourt,2 Tms,101,333,11,39,34,5,3.60%,24.00%,0.157,0.304,0.252,0.283,0.409,0.301,,100,-1,-1,7.9,1.8
277,2022,Jorge Polanco,MIN,104,445,16,54,56,3,14.40%,21.30%,0.171,0.269,0.235,0.346,0.405,0.333,,119,0.9,10.4,-7.2,1.8
278,2022,Josh Naylor,CLE,122,498,20,47,79,6,7.60%,16.10%,0.196,0.268,0.256,0.319,0.452,0.331,,119,-3.6,7,-5.7,1.8
279,2022,Cody Bellinger,LAD,144,550,19,70,68,14,6.90%,27.30%,0.179,0.255,0.21,0.265,0.389,0.284,,83,4.5,-6.1,4.6,1.8
280,2023,Tommy Pham,2 Tms,129,481,16,55,68,22,9.80%,22.00%,0.19,0.3,0.256,0.328,0.446,0.332,,110,3.1,9.2,-7.5,1.8
281,2023,Harold Ramírez,TBR,122,434,12,58,68,5,5.10%,18.20%,0.148,0.359,0.313,0.353,0.46,0.349,,128,1.5,16,-12.8,1.8
282,2023,Cedric Mullins,BAL,116,455,15,51,74,19,9.50%,22.20%,0.183,0.271,0.233,0.305,0.416,0.311,,99,3.3,2.6,-0.1,1.8
283,2023,Mike Yastrzemski,SFG,106,381,15,54,43,2,11.80%,26.00%,0.212,0.286,0.233,0.33,0.445,0.333,,112,0.2,5.9,-1.1,1.8
284,2022,Seth Brown,OAK,150,555,25,55,73,11,9.20%,26.30%,0.214,0.273,0.23,0.305,0.444,0.323,,116,2.4,12.4,-13.2,1.8
285,2022,Keibert Ruiz,WSN,112,433,7,33,36,6,6.90%,11.50%,0.109,0.271,0.251,0.313,0.36,0.299,,91,-0.2,-4.9,7,1.8
286,2022,Jean Segura,PHI,98,387,10,45,33,13,6.50%,15.00%,0.11,0.307,0.277,0.336,0.387,0.32,,105,-1.6,0.6,3.1,1.8
287,2023,Mike Tauchman,CHC,108,401,8,64,48,7,14.00%,21.40%,0.125,0.313,0.252,0.363,0.377,0.33,,107,2.3,5.9,-1.9,1.8
288,2023,Teoscar Hernández,SEA,160,678,26,70,93,7,5.60%,31.10%,0.178,0.342,0.258,0.305,0.435,0.317,,105,-2.9,0.9,-6.4,1.8
289,2023,Triston Casas,BOS,132,502,24,66,65,0,13.90%,25.10%,0.226,0.317,0.263,0.367,0.49,0.367,,129,-2.1,15.6,-15.1,1.7
290,2022,Albert Pujols,STL,109,351,24,42,68,1,8.00%,15.70%,0.28,0.252,0.27,0.345,0.55,0.38,,149,-6.6,13.3,-8.5,1.7
291,2023,Jared Triolo,PIT,54,209,3,30,21,6,11.50%,30.10%,0.099,0.44,0.298,0.388,0.398,0.35,,118,1.8,6.6,3.8,1.7
292,2022,Ryan Mountcastle,BAL,145,609,22,62,85,4,7.10%,25.30%,0.173,0.303,0.25,0.305,0.423,0.316,,108,0.7,6.4,-9.3,1.7
293,2023,Gary Sánchez,2 Tms,75,267,19,33,47,0,7.90%,25.10%,0.275,0.212,0.217,0.288,0.492,0.329,,111,-2.1,1.6,6.6,1.7
294,2022,Eloy Jiménez,CHW,84,327,16,40,54,0,8.60%,22.00%,0.205,0.337,0.295,0.358,0.5,0.37,,143,-1.4,14.5,-8.5,1.7
295,2023,Elly De La Cruz,CIN,98,427,13,67,44,35,8.20%,33.70%,0.175,0.336,0.235,0.3,0.41,0.305,,84,5,-3.3,5.9,1.7
296,2022,David Peralta,2 Tms,134,490,12,39,59,1,8.40%,23.30%,0.164,0.307,0.251,0.316,0.415,0.315,,105,0.1,2.7,-2.7,1.7
297,2023,Will Benson,CIN,108,329,11,51,31,19,12.20%,31.30%,0.223,0.391,0.275,0.365,0.498,0.369,,128,1.9,13.1,-7.3,1.7
298,2022,Josh Donaldson,NYY,132,546,15,59,62,2,9.90%,27.10%,0.153,0.283,0.222,0.308,0.374,0.302,,98,-4.5,-5.8,4.5,1.7
299,2023,Kyle Higashioka,NYY,92,260,10,24,34,0,5.40%,28.50%,0.178,0.292,0.236,0.274,0.413,0.293,,86,-1.1,-5.3,13.4,1.7
300,2022,Kyle Higashioka,NYY,83,248,10,27,31,0,4.80%,21.00%,0.162,0.246,0.227,0.264,0.389,0.282,,84,-0.1,-4.4,12.6,1.7
301,2022,Jack Suwinski,PIT,106,372,19,45,38,4,11.00%,30.60%,0.209,0.242,0.202,0.298,0.411,0.311,,98,0.6,-0.2,3.6,1.7
302,2023,Michael A. Taylor,MIN,129,388,21,48,51,13,6.70%,33.50%,0.223,0.278,0.22,0.278,0.442,0.308,,96,2.3,0.2,3.4,1.7
303,2023,Gabriel Moreno,ARI,111,380,7,33,50,6,7.60%,19.70%,0.123,0.338,0.284,0.339,0.408,0.325,,103,-7.7,-6.5,10.4,1.7
304,2023,Jake Meyers,HOU,112,341,10,42,33,5,7.60%,25.80%,0.155,0.283,0.227,0.296,0.382,0.297,,88,2.5,-2.6,7.8,1.7
305,2022,Brandon Marsh,2 Tms,134,461,11,49,52,10,6.10%,34.30%,0.139,0.36,0.245,0.295,0.384,0.296,,89,2.5,-2.9,3.8,1.7
306,2023,Carlos Santana,2 Tms,146,619,23,78,86,6,10.50%,16.80%,0.189,0.255,0.24,0.318,0.429,0.323,,101,2.2,2.9,-7.3,1.7
307,2022,Austin Hays,BAL,145,582,16,66,60,2,5.80%,19.60%,0.163,0.289,0.25,0.306,0.413,0.314,,107,0.6,5.1,-7.8,1.7
308,2023,Trent Grisham,SDP,153,555,13,67,50,15,13.50%,27.70%,0.154,0.264,0.198,0.315,0.352,0.299,,91,4,-2.4,0.1,1.7
309,2023,Ryan Mountcastle,BAL,115,470,18,64,68,3,7.90%,22.80%,0.182,0.315,0.27,0.328,0.452,0.333,,114,0.9,9,-8.4,1.7
310,2023,Kyle Farmer,MIN,120,369,11,49,46,2,6.20%,23.30%,0.152,0.311,0.256,0.317,0.408,0.316,,101,0.5,1,3,1.6
311,2022,Oscar Gonzalez,CLE,91,382,11,39,43,1,3.90%,19.60%,0.166,0.345,0.296,0.327,0.461,0.339,,125,-1.3,9.2,-5.7,1.6
312,2022,Luis Rengifo,LAA,127,511,17,45,52,6,3.30%,15.50%,0.166,0.285,0.264,0.294,0.429,0.314,,103,1.4,2.8,-3.4,1.6
313,2022,Brendan Rodgers,COL,137,581,13,72,63,0,7.90%,17.40%,0.142,0.304,0.266,0.325,0.408,0.321,,91,-1.7,-7.5,3.5,1.6
314,2023,Alejandro Kirk,TOR,123,422,8,34,43,0,10.00%,10.70%,0.108,0.265,0.25,0.334,0.358,0.308,,96,-10.3,-12.3,14.4,1.6
315,2022,Reese McGuire,2 Tms,89,274,3,25,22,1,4.40%,20.40%,0.1,0.332,0.269,0.307,0.369,0.297,,89,-1.9,-5.2,11.9,1.6
316,2023,Ezequiel Tovar,COL,153,615,15,79,73,11,4.10%,27.00%,0.155,0.328,0.253,0.287,0.408,0.298,,70,-0.6,-23.3,18.5,1.6
317,2022,Christian Vázquez,2 Tms,119,426,9,41,52,1,5.20%,16.20%,0.126,0.31,0.274,0.315,0.399,0.312,,99,-9.9,-10.4,12.1,1.6
318,2022,Christopher Morel,CHC,113,425,16,55,47,10,8.90%,32.20%,0.198,0.32,0.235,0.308,0.433,0.322,,108,1.9,6,-5.1,1.6
319,2022,Tyler Stephenson,CIN,50,183,6,24,35,1,6.60%,25.70%,0.163,0.409,0.319,0.372,0.482,0.37,,135,0.6,8,0.8,1.6
320,2023,Andy Ibáñez,DET,114,383,11,42,41,1,6.30%,18.00%,0.169,0.3,0.264,0.312,0.433,0.32,,103,-0.2,1.1,1.7,1.6
321,2023,Mark Canha,2 Tms,139,507,11,51,62,11,9.70%,15.60%,0.138,0.293,0.262,0.355,0.4,0.333,,111,0.9,7.7,-9.3,1.6
322,2022,Joey Meneses,WSN,56,240,13,33,34,1,6.30%,21.70%,0.239,0.371,0.324,0.367,0.563,0.395,,157,-2.8,12.9,-6.2,1.6
323,2022,Wilmer Flores,SFG,151,602,19,72,71,0,9.80%,17.10%,0.166,0.246,0.229,0.316,0.394,0.312,,104,-1.4,1.6,-7.1,1.6
324,2022,Nick Gordon,MIN,138,443,9,45,50,6,4.30%,23.70%,0.156,0.34,0.272,0.316,0.427,0.321,,111,-0.6,4.9,-4.2,1.6
325,2022,Oswaldo Cabrera,NYY,44,171,6,21,19,3,8.80%,25.70%,0.182,0.305,0.247,0.312,0.429,0.322,,113,0.4,2.9,6.4,1.5
326,2023,Whit Merrifield,TOR,145,592,11,66,67,26,6.10%,17.10%,0.11,0.313,0.272,0.318,0.382,0.304,,93,1,-3.8,-0.8,1.5
327,2023,Mickey Moniak,LAA,85,323,14,35,45,6,2.80%,35.00%,0.215,0.397,0.28,0.307,0.495,0.339,,114,0,5.4,-0.9,1.5
328,2023,Jorge Polanco,MIN,80,343,14,38,48,4,10.50%,25.70%,0.199,0.31,0.255,0.335,0.454,0.34,,118,1.7,9.1,-5.5,1.5
329,2022,Alec Bohm,PHI,152,631,13,79,72,2,4.90%,17.40%,0.118,0.319,0.28,0.315,0.398,0.31,,98,-0.5,-1.9,-4.9,1.5
330,2023,Taylor Ward,LAA,97,409,14,60,47,4,9.50%,19.60%,0.169,0.284,0.253,0.335,0.421,0.329,,107,-1.1,2.5,-1.1,1.5
331,2023,Freddy Fermin,KCR,70,235,9,26,32,0,5.50%,21.30%,0.18,0.323,0.281,0.321,0.461,0.333,,108,-2.2,0,7.1,1.5
332,2022,Ketel Marte,ARI,137,558,12,68,52,5,9.90%,18.10%,0.167,0.276,0.24,0.321,0.407,0.317,,103,-0.9,1.3,-5.8,1.5
333,2022,Aaron Hicks,NYY,130,453,8,54,40,10,13.70%,24.10%,0.096,0.279,0.216,0.33,0.313,0.292,,91,2.5,-1.9,1.8,1.5
334,2022,Isiah Kiner-Falefa,NYY,142,531,4,66,48,22,6.60%,13.60%,0.066,0.296,0.261,0.314,0.327,0.285,,86,1.1,-7,4.3,1.5
